Device: cuda
GPU: NVIDIA GeForce RTX 4070
PlayNet: 569,509 params | DeclNet: 118,785 params

================================================================================
Training: 2000 epochs × 2048 games = ~4,096,000 games
PPO: lr=0.0003 ent=0.02 epochs=6 bs=1024
================================================================================
E   0 | dev=39.2 med=35 perf=11.0% | pl=+0.0013 vl=323.46 ent=0.83 kl=0.0036 | dmae=39.2 | 185g/s 11.1s
E   1 | dev=39.2 med=35 perf=10.6% | pl=-0.0013 vl=122.27 ent=0.83 kl=0.0023 | dmae=39.1 | 193g/s 10.6s
E   2 | dev=39.2 med=36 perf=10.5% | pl=-0.0017 vl=119.35 ent=0.82 kl=0.0027 | dmae=39.1 | 196g/s 10.5s
E   3 | dev=39.2 med=35 perf=10.4% | pl=-0.0015 vl=110.15 ent=0.82 kl=0.0028 | dmae=39.0 | 200g/s 10.3s
E   4 | dev=39.2 med=36 perf=9.5% | pl=-0.0020 vl=110.35 ent=0.81 kl=0.0034 | dmae=39.0 | 195g/s 10.5s
E   5 | dev=39.0 med=35 perf=8.5% | pl=-0.0023 vl=108.13 ent=0.80 kl=0.0034 | dmae=38.9 | 190g/s 10.8s
E   6 | dev=39.0 med=35 perf=8.3% | pl=-0.0020 vl=107.66 ent=0.78 kl=0.0032 | dmae=38.8 | 191g/s 10.7s
E   7 | dev=38.9 med=35 perf=8.9% | pl=-0.0017 vl=106.29 ent=0.77 kl=0.0034 | dmae=38.7 | 194g/s 10.6s
E   8 | dev=38.8 med=34 perf=8.8% | pl=-0.0014 vl=107.33 ent=0.76 kl=0.0034 | dmae=38.5 | 196g/s 10.5s
E   9 | dev=38.2 med=34 perf=0.6% | pl=-0.0009 vl=103.20 ent=0.74 kl=0.0029 | dmae=38.3 | 195g/s 10.5s
E  10 | dev=38.2 med=33 perf=0.5% | pl=-0.0010 vl=105.73 ent=0.73 kl=0.0035 | dmae=38.1 | 197g/s 10.4s
E  11 | dev=37.6 med=33 perf=1.2% | pl=-0.0007 vl=105.42 ent=0.74 kl=0.0031 | dmae=38.0 | 197g/s 10.4s
E  12 | dev=38.0 med=33 perf=0.4% | pl=-0.0011 vl=105.50 ent=0.72 kl=0.0037 | dmae=37.7 | 197g/s 10.4s
E  13 | dev=37.4 med=33 perf=1.1% | pl=-0.0006 vl=106.06 ent=0.72 kl=0.0035 | dmae=37.5 | 198g/s 10.3s
E  14 | dev=36.9 med=32 perf=0.9% | pl=-0.0007 vl=102.84 ent=0.71 kl=0.0039 | dmae=37.2 | 192g/s 10.7s
E  15 | dev=36.9 med=32 perf=1.0% | pl=+0.0002 vl=103.08 ent=0.70 kl=0.0036 | dmae=36.9 | 200g/s 10.3s
E  16 | dev=36.5 med=31 perf=1.0% | pl=+0.0001 vl=96.29 ent=0.70 kl=0.0043 | dmae=36.7 | 199g/s 10.3s
E  17 | dev=36.7 med=31 perf=0.8% | pl=-0.0002 vl=99.09 ent=0.69 kl=0.0036 | dmae=36.4 | 198g/s 10.3s
E  18 | dev=36.4 med=32 perf=0.7% | pl=-0.0000 vl=101.78 ent=0.69 kl=0.0036 | dmae=36.0 | 192g/s 10.7s
E  19 | dev=35.6 med=30 perf=0.8% | pl=+0.0005 vl=96.14 ent=0.69 kl=0.0038 | dmae=35.8 | 195g/s 10.5s
E  20 | dev=35.7 med=30 perf=0.7% | pl=+0.0006 vl=96.62 ent=0.69 kl=0.0042 | dmae=35.4 | 197g/s 10.4s
E  21 | dev=34.9 med=30 perf=1.0% | pl=+0.0008 vl=94.49 ent=0.69 kl=0.0044 | dmae=35.0 | 194g/s 10.6s
E  22 | dev=34.6 med=29 perf=0.8% | pl=+0.0015 vl=95.54 ent=0.69 kl=0.0036 | dmae=34.6 | 198g/s 10.3s
E  23 | dev=34.1 med=28 perf=1.0% | pl=+0.0013 vl=95.04 ent=0.68 kl=0.0045 | dmae=34.2 | 196g/s 10.5s
E  24 | dev=34.3 med=29 perf=0.9% | pl=+0.0010 vl=93.68 ent=0.69 kl=0.0039 | dmae=33.8 | 196g/s 10.4s
E  25 | dev=33.3 med=27 perf=0.4% | pl=+0.0014 vl=86.53 ent=0.69 kl=0.0043 | dmae=33.4 | 193g/s 10.6s
E  26 | dev=33.2 med=26 perf=0.5% | pl=+0.0012 vl=85.66 ent=0.70 kl=0.0040 | dmae=33.0 | 192g/s 10.7s
E  27 | dev=32.7 med=26 perf=0.6% | pl=+0.0009 vl=88.09 ent=0.70 kl=0.0042 | dmae=32.6 | 193g/s 10.6s
E  28 | dev=32.4 med=26 perf=1.2% | pl=+0.0009 vl=83.56 ent=0.70 kl=0.0046 | dmae=32.2 | 197g/s 10.4s
E  29 | dev=32.0 med=25 perf=0.9% | pl=+0.0018 vl=86.46 ent=0.70 kl=0.0044 | dmae=31.7 | 193g/s 10.6s
E  30 | dev=31.7 med=24 perf=0.7% | pl=+0.0004 vl=87.80 ent=0.69 kl=0.0044 | dmae=31.2 | 195g/s 10.5s
E  31 | dev=30.5 med=23 perf=1.2% | pl=+0.0019 vl=81.62 ent=0.69 kl=0.0050 | dmae=30.6 | 202g/s 10.1s
E  32 | dev=30.6 med=23 perf=1.0% | pl=+0.0016 vl=82.91 ent=0.69 kl=0.0052 | dmae=30.4 | 191g/s 10.7s
E  33 | dev=30.1 med=22 perf=1.7% | pl=+0.0017 vl=80.85 ent=0.70 kl=0.0056 | dmae=29.8 | 197g/s 10.4s
E  34 | dev=29.3 med=22 perf=2.1% | pl=+0.0026 vl=80.60 ent=0.70 kl=0.0057 | dmae=29.2 | 195g/s 10.5s
E  35 | dev=28.8 med=21 perf=1.9% | pl=+0.0024 vl=80.14 ent=0.71 kl=0.0064 | dmae=28.7 | 195g/s 10.5s
E  36 | dev=28.5 med=20 perf=1.6% | pl=+0.0014 vl=75.81 ent=0.71 kl=0.0063 | dmae=28.4 | 195g/s 10.5s
E  37 | dev=28.1 med=20 perf=1.4% | pl=+0.0023 vl=77.22 ent=0.71 kl=0.0062 | dmae=27.9 | 195g/s 10.5s
E  38 | dev=27.9 med=19 perf=1.5% | pl=+0.0020 vl=74.71 ent=0.72 kl=0.0060 | dmae=27.7 | 198g/s 10.3s
E  39 | dev=27.0 med=18 perf=1.3% | pl=+0.0017 vl=71.16 ent=0.72 kl=0.0057 | dmae=26.9 | 198g/s 10.3s
E  40 | dev=26.7 med=19 perf=0.9% | pl=+0.0001 vl=70.68 ent=0.72 kl=0.0050 | dmae=26.6 | 195g/s 10.5s
E  41 | dev=26.2 med=20 perf=0.9% | pl=+0.0011 vl=70.51 ent=0.73 kl=0.0048 | dmae=26.2 | 196g/s 10.4s
E  42 | dev=26.1 med=20 perf=1.0% | pl=+0.0011 vl=68.23 ent=0.73 kl=0.0053 | dmae=25.6 | 193g/s 10.6s
E  43 | dev=25.9 med=21 perf=1.8% | pl=+0.0015 vl=68.68 ent=0.72 kl=0.0054 | dmae=25.5 | 191g/s 10.7s
E  44 | dev=24.7 med=20 perf=1.0% | pl=+0.0013 vl=65.98 ent=0.72 kl=0.0052 | dmae=24.7 | 192g/s 10.7s
E  45 | dev=24.7 med=20 perf=0.9% | pl=+0.0018 vl=65.15 ent=0.72 kl=0.0052 | dmae=24.5 | 196g/s 10.5s
E  46 | dev=24.1 med=20 perf=1.7% | pl=+0.0013 vl=63.88 ent=0.71 kl=0.0047 | dmae=24.1 | 196g/s 10.5s
E  47 | dev=24.0 med=20 perf=1.5% | pl=+0.0012 vl=64.00 ent=0.71 kl=0.0048 | dmae=24.0 | 192g/s 10.6s
E  48 | dev=23.3 med=19 perf=1.4% | pl=+0.0016 vl=61.53 ent=0.70 kl=0.0051 | dmae=23.2 | 192g/s 10.7s
E  49 | dev=23.4 med=19 perf=1.3% | pl=+0.0012 vl=63.30 ent=0.69 kl=0.0052 | dmae=23.1 | 192g/s 10.7s
E  50 | dev=22.7 med=18 perf=2.0% | pl=+0.0017 vl=60.79 ent=0.70 kl=0.0054 | dmae=22.6 | 200g/s 10.2s
E  51 | dev=22.8 med=18 perf=1.8% | pl=+0.0007 vl=60.49 ent=0.68 kl=0.0042 | dmae=22.6 | 197g/s 10.4s
E  52 | dev=22.5 med=18 perf=1.3% | pl=+0.0011 vl=60.44 ent=0.68 kl=0.0052 | dmae=22.3 | 197g/s 10.4s
E  53 | dev=22.1 med=18 perf=1.4% | pl=+0.0016 vl=59.71 ent=0.69 kl=0.0047 | dmae=22.0 | 196g/s 10.4s
E  54 | dev=21.9 med=18 perf=1.5% | pl=+0.0004 vl=56.49 ent=0.68 kl=0.0051 | dmae=21.9 | 197g/s 10.4s
E  55 | dev=21.8 med=18 perf=1.4% | pl=+0.0016 vl=57.03 ent=0.68 kl=0.0050 | dmae=21.7 | 197g/s 10.4s
E  56 | dev=20.9 med=18 perf=1.7% | pl=+0.0008 vl=55.33 ent=0.69 kl=0.0049 | dmae=20.9 | 199g/s 10.3s
E  57 | dev=21.2 med=18 perf=1.6% | pl=+0.0006 vl=56.43 ent=0.68 kl=0.0051 | dmae=21.2 | 197g/s 10.4s
E  58 | dev=21.0 med=18 perf=1.8% | pl=+0.0010 vl=55.55 ent=0.69 kl=0.0054 | dmae=21.1 | 193g/s 10.6s
